,date,num_basket_objects,object_iterator,object_name,Y1,X1,Y2,X2,gaze_x,gaze_y,t_start,t_select,t_close,t_completion,NOSC,NGSC,NAC,TTA,TTG,OST,TTT,success,prosthetic_err,obj_select_err,grasp_config_err,aperture_err
75,06_01_2021_18_30_47,3,0,Glasses,98,248,165,373,100,-136,1622588467685,1622588471791,1622588474826,1622588477276,0,0,0,3035,7141,4106,9591,True,False,False,False,False
76,06_01_2021_18_30_47,3,1,Headphone,211,228,310,284,33,-159,1622588482192,1622588485430,1622588489063,1622588492050,0,0,0,3633,6871,3238,9858,True,False,False,False,False
77,06_01_2021_18_30_47,3,2,paint roller,129,182,192,255,103,-97,1622588498694,1622588501606,1622588505060,1622588507394,0,0,0,3454,6366,2912,8700,True,False,False,False,False
78,06_02_2021_15_59_33,3,0,airpods,260,156,315,216,159,70,1622665545204,1622665548338,1622665553122,1622665555725,0,0,0,4784,7918,3134,10521,True,False,False,False,False
79,06_02_2021_15_59_33,3,1,cigar,58,143,99,180,19,80,1622665564149,1622665566950,1622665569015,1622665570988,0,0,0,2065,4866,2801,6839,True,False,False,False,False
80,06_02_2021_15_59_33,3,2,Mugs - RDM,110,268,256,384,65,-154,1622665576874,1622665579578,1622665581992,1622665584769,0,0,0,2414,5118,2704,7895,True,False,False,False,False
81,06_01_2021_18_30_47,4,0,T-shirt,101,226,215,367,46,-120,1622588541365,1622588546098,1622588550260,1622588553208,0,0,0,4162,8895,4733,11843,True,False,False,False,False
82,06_01_2021_18_30_47,4,1,Tooth paste - UR,9,270,106,317,179,-64,1622588560758,1622588572097,1622588578225,1622588580967,1,0,0,6128,17467,11339,20209,True,False,False,False,False
83,06_01_2021_18_30_47,4,2,Dish Soap - RDM,34,369,59,384,335,18,1622588612778,1622588602259,1622588608059,1622588613845,0,0,0,0,-1622588612778,4119,1067,True,False,False,False,False
84,06_01_2021_18_30_47,4,3,clamps,151,175,219,234,6,-211,1622588627016,1622588629128,1622588633643,1622588636761,0,0,0,4515,6627,2112,9745,True,False,False,False,False
85,06_02_2021_15_59_33,3,0,Jar - UR,29,153,136,231,436,148,1622665615995,1622665619006,1622665621783,1622665624574,0,0,0,2777,5788,3011,8579,True,False,False,False,False
86,06_02_2021_15_59_33,3,1,Mugs - RDM,58,320,192,384,268,-28,1622665638837,1622665641932,1622665644940,1622665647700,0,0,0,3008,6103,3095,8863,True,False,False,False,False
87,06_02_2021_15_59_33,3,2,screw driver,223,175,272,288,63,-107,1622665658315,1622665660777,1622665663087,1622665666317,0,0,0,2310,4772,2462,8002,True,False,False,False,False
88,06_01_2021_18_30_47,4,0,glass case,129,225,271,378,3,-163,1622588690318,1622588694472,1622588697442,1622588699383,0,0,0,2970,7124,4154,9065,True,False,False,False,False
89,06_01_2021_18_30_47,4,1,Jar - UR,36,158,154,246,244,-149,1622588705304,1622588709002,1622588714676,1622588717561,0,0,0,5674,9372,3698,12257,False,False,False,False,True
90,06_01_2021_18_30_47,4,2,clamps,74,229,130,286,-55,-143,1622588731164,1622588735050,1622588739958,1622588742825,0,0,0,4908,8794,3886,11661,True,False,False,False,False
91,06_01_2021_18_30_47,4,3,coffee pod,143,234,198,281,116,-93,1622588748937,1622588750764,1622588753926,1622588756662,0,0,0,3162,4989,1827,7725,True,False,False,False,False
